ra,dec,clon,clat,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
123.8469087,-38.9898556,08h15m23.26s,-38d59m23.48s,0.0373,0.0398,-0.0153,11.218,0.017,62.2,9.147,10.888,0.022,49.9,2.777,1,0,0000,AA,10,58800.17811082,1238039401351044100,11.681,0.023,11.749,0.022,12.247,0.474,9.028,,289913911,12.065,,12.031,0.0393,11.987,0.0377,0.506648,251.094345
123.8469013,-38.9898376,08h15m23.26s,-38d59m23.42s,0.0386,0.0432,-0.0132,11.342,0.018,58.8,9.538,11.083,0.025,43.8,3.207,1,0,0000,AA,5,59167.19722505,1238039401351044100,11.681,0.023,11.749,0.022,12.247,0.474,9.028,,289913911,12.065,,12.031,0.0393,11.987,0.0377,0.509798,258.761104
123.8469029,-38.9897766,08h15m23.26s,-38d59m23.20s,0.0377,0.0398,0.0039,11.216,0.020,55.2,12.880,10.955,0.023,46.7,4.435,1,0,0000,AA,0,58801.55183428,1238039401351044100,11.681,0.023,11.749,0.022,12.247,0.474,9.028,,289913911,12.065,,12.031,0.0393,11.987,0.0377,0.509928,283.638623
123.8469036,-38.9898458,08h15m23.26s,-38d59m23.44s,0.0371,0.0396,-0.0142,11.246,0.017,65.1,15.400,10.906,0.025,43.2,2.020,1,0,0000,AA,5,58435.91674415,1238039401351044100,11.681,0.023,11.749,0.022,12.247,0.474,9.028,,289913911,12.065,,12.031,0.0393,11.987,0.0377,0.510141,255.366305
123.8469002,-38.9898339,08h15m23.26s,-38d59m23.40s,0.0372,0.0404,-0.0128,11.227,0.017,62.4,15.560,10.882,0.021,50.6,3.504,1,0,0000,AA,5,58800.63601775,1238039401351044100,11.681,0.023,11.749,0.022,12.247,0.474,9.028,,289913911,12.065,,12.031,0.0393,11.987,0.0377,0.51041,260.29519
123.8469035,-38.9898474,08h15m23.26s,-38d59m23.45s,0.0380,0.0446,-0.0122,11.234,0.021,51.7,10.150,10.873,0.025,43.2,4.108,1,0,0000,AA,10,58436.70203813,1238039401351044100,11.681,0.023,11.749,0.022,12.247,0.474,9.028,,289913911,12.065,,12.031,0.0393,11.987,0.0377,0.511897,254.750407
123.8469004,-38.9898376,08h15m23.26s,-38d59m23.42s,0.0437,0.0461,0.0110,11.349,0.022,49.7,11.980,10.988,0.022,48.9,5.751,1,0,0000,AA,5,58594.19900308,1238039401351044100,11.681,0.023,11.749,0.022,12.247,0.474,9.028,,289913911,12.065,,12.031,0.0393,11.987,0.0377,0.512275,258.816
123.8469088,-38.9898616,08h15m23.26s,-38d59m23.50s,0.0390,0.0435,-0.0152,11.319,0.018,60.4,13.720,11.147,0.024,45.2,1.992,1,0,0000,AA,5,59167.06695835,1238039401351044100,11.681,0.023,11.749,0.022,12.247,0.474,9.028,,289913911,12.065,,12.031,0.0393,11.987,0.0377,0.513795,248.804847
123.8469009,-38.9898455,08h15m23.26s,-38d59m23.44s,0.0380,0.0443,-0.0124,11.347,0.020,55.3,9.749,11.159,0.027,39.7,3.697,1,0,0000,AA,5,59321.76570633,1238039401351044100,11.681,0.023,11.749,0.022,12.247,0.474,9.028,,289913911,12.065,,12.031,0.0393,11.987,0.0377,0.517185,255.693521
123.8468990,-38.9898405,08h15m23.26s,-38d59m23.43s,0.0402,0.0474,-0.0119,11.278,0.022,49.3,9.175,10.857,0.021,50.9,2.414,1,0,0000,AA,10,58436.57062538,1238039401351044100,11.681,0.023,11.749,0.022,12.247,0.474,9.028,,289913911,12.065,,12.031,0.0393,11.987,0.0377,0.518225,257.767607
