MJD           m       dm    uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
57763.503458  13.267  0.004 17917   66 o  0  11.25 123.84708 -38.98981  2504.29  2069.69 3.69 3.60 -40.0 -0.442 18.35 19.12 02a57763o0493o
57767.470731  13.280  0.004 17706   66 o  0  16.57 123.84708 -38.98981  4631.02  1893.60 3.46 3.26 -14.6 -0.466 18.33 18.97 02a57767o0513o
57767.486223  13.278  0.004 17729   68 o  0  19.28 123.84708 -38.98981  4617.29  1853.63 3.42 3.35 -34.2 -0.468 18.33 18.96 02a57767o0543o
57767.501751  13.286  0.004 17606   69 o  0  13.35 123.84708 -38.98981  4679.24  1931.28 3.44 3.37 -50.9 -0.468 18.30 18.92 02a57767o0573o
57771.467047  13.260  0.003 18027   61 o  0  13.03 123.84708 -38.98981  2505.03   498.02 3.94 3.83 -38.0 -0.431 18.68 19.91 02a57771o0521o
57771.481594  13.261  0.003 18020   59 o  0  21.46 123.84708 -38.98981  2491.21   458.57 3.97 3.71 -10.7 -0.441 18.68 19.90 02a57771o0549o
57771.496014  13.252  0.003 18163   62 o  0  10.61 123.84708 -38.98981  2553.10   541.80 4.05 3.75  -9.2 -0.437 18.65 19.85 02a57771o0577o
57779.440606  13.559  0.003 13692   42 c  0  32.10 123.84708 -38.98981  4263.07  3859.82 3.76 3.72  26.9 -0.385 19.45 21.39 02a57779o0435c
57779.455737  13.560  0.003 13679   42 c  0  27.98 123.84708 -38.98981  4250.29  3820.64 4.05 3.81  79.0 -0.375 19.44 21.39 02a57779o0464c
57783.436803  13.549  0.003 13812   45 c  0   7.27 123.84708 -38.98981  3361.47  2020.23 4.20 4.07 -20.1 -0.382 19.36 21.28 02a57783o0422c
57783.452546  13.546  0.003 13850   43 c  0  22.33 123.84708 -38.98981  3349.45  1979.80 4.00 3.86 -19.4 -0.406 19.41 21.30 02a57783o0451c
57787.410237  13.553  0.003 13762   47 c  0  10.72 123.84708 -38.98981  2564.60   773.56 4.50 4.31  -9.6 -0.391 19.11 20.96 02a57787o0367c
57787.424141  13.552  0.003 13782   44 c  0  14.21 123.84708 -38.98981  2535.53   732.79 4.30 4.15 -13.7 -0.394 19.38 21.35 02a57787o0395c
57787.437816  13.544  0.003 13883   44 c  0  14.11 123.84708 -38.98981  2597.50   811.69 4.34 4.20 -19.4 -0.392 19.44 21.44 02a57787o0423c
57787.451732  13.562  0.003 13646   44 c  0  14.98 123.84708 -38.98981  2614.72   693.40 4.54 4.44 -22.6 -0.384 19.36 21.47 02a57787o0451c
57799.397303  13.256  0.003 18100   58 o  0  21.85 123.84708 -38.98981  4135.28  1530.79 3.64 3.62 -33.4 -0.458 18.71 19.85 02a57799o0347o
57799.412070  13.271  0.003 17853   61 o  0  16.38 123.84708 -38.98981  4122.53  1490.12 3.66 3.61 -53.2 -0.453 18.69 19.81 02a57799o0375o
57800.425537  13.298  0.005 17412   87 o  0   8.59 123.84708 -38.98981  5027.30  6606.74 4.02 3.88 -89.6 -0.594 18.19 19.64 01a57800o0375o
57800.440358  13.305  0.005 17292   94 o  0   5.66 123.84708 -38.98981  5043.08  6626.81 4.23 4.08 -80.2 -0.579 18.11 19.57 01a57800o0403o
57800.455187  13.314  0.005 17153   94 o  0   4.86 123.84708 -38.98981  4980.79  6570.47 4.07 3.93 -78.1 -0.612 18.10 19.46 01a57800o0431o
57800.469533  13.341  0.006 16741   93 o  0   9.38 123.84708 -38.98981  4968.40  6687.07 4.11 4.01 -73.9 -0.600 18.05 19.39 01a57800o0458o
57802.249596  13.230  0.003 18537   62 o  0  39.04 123.84708 -38.98981  7171.67  7205.14 3.62 3.43 -81.5 -0.460 18.61 19.79 02a57802o0033o
57802.256786  13.242  0.003 18338   64 o  0  44.10 123.84708 -38.98981  5465.38  8932.89 3.38 3.27  -9.2 -0.430 18.70 19.95 02a57802o0047o
57802.267901  13.237  0.003 18409   60 o  0  43.54 123.84708 -38.98981  6312.49  8066.70 3.52 3.45 -84.5 -0.472 18.79 20.13 02a57802o0063o
57802.276220  13.243  0.003 18315   57 o  0  51.50 123.84708 -38.98981  6313.12  8067.64 3.50 3.42  89.8 -0.467 18.84 20.15 02a57802o0079o
57803.436524  13.545  0.004 13872   60 c  0   6.05 123.84708 -38.98981  5304.72  2220.76 4.01 3.95 -87.1 -0.390 18.86 20.78 02a57803o0421c
57803.448187  13.562  0.004 13656   49 c  0  15.94 123.84708 -38.98981  5366.04  2297.08 3.90 3.89 -78.9 -0.392 19.23 21.14 02a57803o0444c
57803.471990  13.563  0.003 13642   47 c  0   9.96 123.84708 -38.98981  5354.54  2234.03 3.89 3.83 -55.1 -0.398 19.28 21.15 02a57803o0491c
57807.407810  13.561  0.003 13666   44 c  0  27.45 123.84708 -38.98981  2646.64  3907.81 3.85 3.76  79.8 -0.386 19.45 21.36 02a57807o0349c
57807.422757  13.559  0.003 13684   45 c  0  15.34 123.84708 -38.98981  2634.65  3866.11 3.87 3.78  83.1 -0.386 19.43 21.34 02a57807o0378c
