#Data from LCO Program DDT2021B-003
#PI S. Ertel
#Time in MJD
#Colours and uncertainties in Magnitudes
#Filters SDSS gp,rp,ip
Time,mg,ug,mr,ur,mi,ui,mz,uz,g-r,Err g-r,r-i,Err r-i,g-z,Err g-z,r-z,Err r-z
59536.9417009,15.04544452507581,0.013922537392139537,14.014759010788616,0.005614903544263809,13.671876852889335,0.003904063645588913,-99.0,-99.0,1.0306855142871942,0.015012134733172023,0.34288215789928067,0.006838775823215386,-99.0,-99.0,-99.0,-99.0
59536.9825879,15.090125396714242,0.011920638533231711,14.052672416778082,0.005183224311237147,13.660313247792685,0.0037673540184034195,13.485315908245868,0.003506665370898767,1.0374529799361607,0.012998747528149336,0.39235916898539713,0.006407711803801744,1.6048094884683746,0.012425712255779516,0.5673565085322139,0.006257996187603536
59537.0729484,15.165132938703472,0.012547467546092199,14.05311271123809,0.005338163264132624,13.68287545154,0.003711069413412794,13.536988773987375,0.00333192008735067,1.1120202274653828,0.013635795864370075,0.37023725969809007,0.006501386254154036,1.6281441647160975,0.012982320027203453,0.5161239372507147,0.0062926686312744905
59537.2298826,15.124743093417017,0.008870309401652758,14.037381092429877,0.004342613927885159,13.6517150771297,0.0031724876481535056,13.506510592550953,0.0028558204470447526,1.0873620009871399,0.009876268759390435,0.38566601530017763,0.005378008330632143,1.618232500866064,0.00931869622355017,0.5308704998789242,0.005197499990612896
59537.3191802,15.069211079637219,0.005187560049093484,14.010868451589676,0.0032547094165139893,13.654770615375963,0.0025511983663260504,13.47333710080264,0.0023238403920873554,1.0583426280475425,0.006124043815069878,0.3560978362137135,0.004135425793106381,1.5958739788345788,0.005684277740473939,0.5375313507870363,0.003999170858295697
59537.9314976,15.547315329973848,0.024190633448965316,14.286924796392256,0.00767273840170992,13.81359255727178,0.004861522769822546,13.65539496299247,0.004052921672138055,1.2603905335815924,0.02537829114111653,0.4733322391204755,0.009083243816092199,1.8919203669813793,0.024527798937994536,0.631529833399787,0.008677389507309237
59537.99533,15.747392795272141,0.026633590249889087,14.4006073076842,0.007491601406574932,13.901187266601571,0.004541008119930027,13.708159511006123,0.003871965109794087,1.3467854875879404,0.027667168652285017,0.4994200410826295,0.00876041359641575,2.039233284266018,0.02691356987488746,0.6924477966780778,0.008433042478634757
59538.0633291,15.950855167501143,0.024909387507871663,14.53855244231723,0.007406941930606689,13.9718000064272,0.004405460903377444,13.75218292802127,0.003737453095895026,1.4123027251839133,0.025987311803660883,0.5667524358900291,0.008618055148034664,2.1986722394798726,0.02518821434046741,0.7863695142959592,0.008296465778112681
59538.2302712,16.34348920452392,0.023213976460459227,14.741737018853842,0.007161332089857078,14.115473891100212,0.00417856864992017,13.817397431882942,0.0035590754966454328,1.6017521856700778,0.024293484320038815,0.6262631277536297,0.008291267289341986,2.526091772640978,0.023485223471314404,0.9243395869709001,0.007996980410882515
59538.3132234,16.376177774349753,0.01963355803292917,14.779644540467235,0.006432534419093044,14.142331924415746,0.003875361009941136,13.839045799193975,0.0033735838415514907,1.5965332338825178,0.020660447722283613,0.6373126160514886,0.007509721833076687,2.537131975155777,0.019921286830131602,0.9405987412732593,0.0072635092750538985
59538.9313316,15.741365030105637,0.03529233961814933,14.4172259589816,0.010650243191818582,13.908953822111936,0.005880094370038995,13.609897248532963,0.006113834529509066,1.324139071124037,0.036864304086306456,0.5082721368696639,0.012165656161730131,2.131467781572674,0.03581798721839364,0.8073287104486369,0.012280336017352922
59538.9419214,15.71690678279581,0.031750825281716175,14.42301188617202,0.009519841994883562,13.891236681185124,0.007404627805664096,-99.0,-99.0,1.2938948966237902,0.03314728190482012,0.5317752049868965,0.01206051012801542,-99.0,-99.0,-99.0,-99.0
59538.9799661,15.805320513905382,0.03030151482164747,14.441444247623517,0.012151212174466356,13.921635532910084,0.005849555585380209,13.666605622377595,0.005730784745604658,1.3638762662818653,0.03264710948606968,0.5198087147134327,0.0134858910664202,2.138714891527787,0.030838672057774737,0.7748386252459216,0.013434800002581149
59539.1825422,16.14635483846349,0.02148907510497,14.78251195626582,0.007996345407253249,14.22821618515406,0.004976327995923702,13.983608364522485,0.004788496914737913,1.3638428821976714,0.02292862596709933,0.5542957711117591,0.009418353369624339,2.162746473941006,0.022016131621370182,0.7989035917433345,0.009320474374974411
59539.2299192,16.27370462352144,0.01940385338915276,14.861708180371421,0.0075131883830808635,14.28720027148125,0.004645153310016256,13.99048663811673,0.004060410235577546,1.4119964431500183,0.02080763143722505,0.5745079088901708,0.008833201512091538,2.2832179854047094,0.019824138256905845,0.8712215422546912,0.008540195018899986
59539.3131087,16.429136820324395,0.02026913480323485,15.008791003962429,0.007891219442565848,14.39007115875929,0.004798841400215891,14.093342886525287,0.00409260232620235,1.4203458163619658,0.021751072846239918,0.6187198452031382,0.009235811987863074,2.335793933799108,0.020678182209085575,0.9154481174371423,0.008889360949537718
59540.2224007,16.34000126831178,0.01930623717791029,14.746079060741044,0.006224109769474907,14.11318024789772,0.0038194834761341653,13.898853376075177,0.0032624409547835007,1.5939222075707367,0.02028473160759586,0.6328988128433242,0.007302602032627474,2.4411478922366037,0.01957994675562664,0.847225684665867,0.007027308404070626
59540.2821293,16.257530782557676,0.017163422301861048,14.708732004058184,0.00584943937351767,14.079890004766419,0.0036490868792829357,13.797551566044744,0.0031117228155804846,1.548798778499492,0.018132815724439488,0.6288419992917653,0.006894329266651953,2.4599792165129326,0.01744321885412854,0.9111804380134405,0.006625613923664955
59540.3445375,16.19441587321307,0.01345017547020206,14.63493743623534,0.005199474057131578,14.043354610280183,0.0034447737695344548,13.799066830395168,0.0030130698242468766,1.5594784369777308,0.014420185527586305,0.5915828259551574,0.0062370663612035535,2.3953490428179034,0.013783534015085258,0.8358706058401726,0.006009419292791227
59541.2269324,16.061913261588423,0.01913483988777027,14.554628422663553,0.006588055005346332,13.947913523950094,0.004610791645003307,-99.0,-99.0,1.5072848389248694,0.020237207472476856,0.6067148987134594,0.008041260370557662,-99.0,-99.0,-99.0,-99.0
59541.2845358,16.150586354530546,0.02854244767370604,14.512301945707325,0.009179214064055549,13.955097818859786,0.004993234498098339,13.68061879065818,0.00389632733875129,1.6382844088232211,0.02998214952334143,0.5572041268475392,0.010449419198537044,2.469967563872366,0.028807163795433733,0.831683155049145,0.00997192747488949
